,Date,Hour,Min,Event Type,
,2020-05-24,22.0,28,SocialDistancing,
,2020-05-24,21.0,43,SocialDistancing,
,2020-05-24,20.0,27,SocialDistancing,
,2020-05-24,19.0,9,SocialDistancing,
,2020-05-25,11.0,2,FaceMask,
,2020-05-25,10.0,27,FaceMask,
,2020-05-25,10.0,3,FaceMask,
,2020-05-25,10.0,11,SocialDistancing,
,2020-05-25,10.0,1,SocialDistancing,
,2020-05-25,10.0,1,Speeding,
,2020-05-25,9.0,58,FaceMask,
,2020-05-25,9.0,1,FaceMask,
,2020-05-25,9.0,1,Gloves,
,2020-05-25,9.0,40,SocialDistancing,
,2020-05-25,9.0,4,Speeding,
,2020-05-25,9.0,3,Speeding,
,2020-05-25,9.0,1,Vests,
,2020-05-25,0.0,1,SocialDistancing,
,2020-05-25,0.0,15,SocialDistancing,
,2020-05-25,0.0,1,SocialDistancing,
,2020-05-26,12.0,1,FaceMask,
,2020-05-26,12.0,7,SocialDistancing,
,2020-05-26,12.0,1,Speeding,
,2020-05-26,12.0,1,Speeding,
,2020-05-26,11.0,3,FaceMask,
,2020-05-26,11.0,1,SocialDistancing,
,2020-05-26,11.0,6,Speeding,
,2020-05-26,11.0,1,Speeding,
,2020-05-26,10.0,31,FaceMask,
,2020-05-26,10.0,1,Other damage,
,2020-05-26,10.0,26,SocialDistancing,
,2020-05-26,10.0,2,Speeding,
,2020-05-26,10.0,1,Vests,
,2020-05-26,9.0,18,FaceMask,
,2020-05-26,9.0,6,FaceMask,
,2020-05-26,9.0,1,Other damage,
,2020-05-26,9.0,35,SocialDistancing,
,2020-05-26,9.0,4,SocialDistancing,
,2020-05-26,9.0,6,Speeding,
,2020-05-26,9.0,9,Speeding,
,2020-05-26,9.0,1,Vests,
,2020-05-26,9.0,2,Vests,
,2020-05-27,23.0,7,SocialDistancing,
,2020-05-27,22.0,20,SocialDistancing,
,2020-05-27,21.0,1,SocialDistancing,
,2020-05-27,20.0,1,SocialDistancing,
,2020-05-28,23.0,13,SocialDistancing,
,2020-05-28,22.0,13,SocialDistancing,
,2020-05-28,21.0,3,SocialDistancing,
,2020-05-28,12.0,3,FaceMask,
,2020-05-28,12.0,3,SocialDistancing,
,2020-05-28,12.0,9,Speeding,
,2020-05-28,11.0,1,Speeding,
,2020-05-28,10.0,4,FaceMask,
,2020-05-28,10.0,3,SocialDistancing,
,2020-05-28,10.0,9,Speeding,
,2020-05-28,9.0,1,Driver entering,
,2020-05-28,9.0,33,FaceMask,
,2020-05-28,9.0,5,Gloves,
,2020-05-28,9.0,74,SocialDistancing,
,2020-05-28,9.0,23,Speeding,
,2020-05-28,9.0,1,Vests,
,2020-05-28,1.0,22,SocialDistancing,
,2020-05-28,0.0,12,SocialDistancing,
,2020-05-29,23.0,16,SocialDistancing,
,2020-05-29,22.0,6,SocialDistancing,
,2020-05-29,21.0,3,SocialDistancing,
,2020-05-29,13.0,1,SocialDistancing,
,2020-05-29,12.0,26,SocialDistancing,
,2020-05-29,12.0,10,Speeding,
,2020-05-29,11.0,1,FaceMask,
,2020-05-29,11.0,3,SocialDistancing,
,2020-05-29,11.0,21,Speeding,
,2020-05-29,10.0,14,FaceMask,
,2020-05-29,10.0,3,Gloves,
,2020-05-29,10.0,15,SocialDistancing,
,2020-05-29,10.0,6,Speeding,
,2020-05-29,9.0,32,FaceMask,
,2020-05-29,9.0,1,Gloves,
,2020-05-29,9.0,1,Other damage,
,2020-05-29,9.0,56,SocialDistancing,
,2020-05-29,9.0,33,Speeding,
,2020-05-29,2.0,3,SocialDistancing,
,2020-05-29,1.0,7,SocialDistancing,
,2020-05-29,0.0,1,SocialDistancing,
,2020-05-30,23.0,17,SocialDistancing,
,2020-05-30,22.0,6,SocialDistancing,
,2020-05-30,21.0,1,FaceMask,
,2020-05-30,21.0,3,SocialDistancing,
,2020-05-30,12.0,2,FaceMask,
,2020-05-30,12.0,1,Speeding,
,2020-05-30,10.0,4,FaceMask,
,2020-05-30,10.0,23,SocialDistancing,
,2020-05-30,10.0,8,Speeding,
,2020-05-30,9.0,39,FaceMask,
,2020-05-30,9.0,76,SocialDistancing,
,2020-05-30,9.0,55,Speeding,
,2020-05-30,1.0,9,SocialDistancing,
,2020-05-30,0.0,9,SocialDistancing,
,2020-05-31,12.0,2,FaceMask,
,2020-05-31,11.0,6,FaceMask,
,2020-05-31,11.0,1,SocialDistancing,
,2020-05-31,10.0,9,FaceMask,
,2020-05-31,10.0,2,FaceMask,
,2020-05-31,10.0,2,SocialDistancing,
,2020-05-31,10.0,1,SocialDistancing,
,2020-05-31,10.0,1,Speeding,
,2020-05-31,10.0,1,Speeding,
,2020-05-31,9.0,66,FaceMask,
,2020-05-31,9.0,1,Gloves,
,2020-05-31,9.0,50,SocialDistancing,
,2020-05-31,9.0,8,Speeding,
,2020-05-31,2.0,5,SocialDistancing,
,2020-05-31,1.0,34,SocialDistancing,
,2020-05-31,0.0,19,SocialDistancing,
